Name,Year,Department,Section,Email,Phone,Attendance,FeedbackScore,Sponsored
Alice,I,CSE,A,alice1@mail.com,9876543001,4,8,Yes
Bob,II,IT,B,bob2@mail.com,9876543002,5,9,No
Charlie,III,ECE,A,charlie3@mail.com,9876543003,3,7,Yes
David,IV,EEE,B,david4@mail.com,9876543004,4,6,No
Emma,I,MECH,A,emma5@mail.com,9876543005,5,10,Yes
Fiona,II,CIVIL,B,fiona6@mail.com,9876543006,3,8,No
George,III,CSE,A,george7@mail.com,9876543007,4,7,Yes
Hannah,IV,IT,B,hannah8@mail.com,9876543008,5,9,No
Ian,I,ECE,A,ian9@mail.com,9876543009,4,6,Yes
Jane,II,EEE,B,jane10@mail.com,9876543010,5,10,Yes
Kevin,III,MECH,A,kevin11@mail.com,9876543011,3,7,No
Laura,IV,CIVIL,B,laura12@mail.com,9876543012,4,8,Yes
Mike,I,CSE,A,mike13@mail.com,9876543013,5,9,No
Nina,II,IT,B,nina14@mail.com,9876543014,4,6,Yes
Oscar,III,ECE,A,oscar15@mail.com,9876543015,3,8,No
Paula,IV,EEE,B,paula16@mail.com,9876543016,5,10,Yes
Quinn,I,MECH,A,quinn17@mail.com,9876543017,4,7,No
Rita,II,CIVIL,B,rita18@mail.com,9876543018,5,9,Yes
Sam,III,CSE,A,sam19@mail.com,9876543019,4,8,No
Tina,IV,IT,B,tina20@mail.com,9876543020,5,10,Yes
Uma,I,ECE,A,uma21@mail.com,9876543021,3,7,No
Victor,II,EEE,B,victor22@mail.com,9876543022,4,8,Yes
Wendy,III,MECH,A,wendy23@mail.com,9876543023,5,9,No
Xavier,IV,CIVIL,B,xavier24@mail.com,9876543024,4,6,Yes
Yara,I,CSE,A,yara25@mail.com,9876543025,5,10,Yes
Zane,II,IT,B,zane26@mail.com,9876543026,3,8,No
Amy,III,ECE,A,amy27@mail.com,9876543027,4,7,Yes
Brian,IV,EEE,B,brian28@mail.com,9876543028,5,9,No
Clara,I,MECH,A,clara29@mail.com,9876543029,4,8,Yes
Derek,II,CIVIL,B,derek30@mail.com,9876543030,5,10,Yes
Ella,III,CSE,A,ella31@mail.com,9876543031,3,7,No
Frank,IV,IT,B,frank32@mail.com,9876543032,4,8,Yes
Grace,I,ECE,A,grace33@mail.com,9876543033,5,9,No
Harry,II,EEE,B,harry34@mail.com,9876543034,4,6,Yes
Ivy,III,MECH,A,ivy35@mail.com,9876543035,5,10,Yes
Jack,IV,CIVIL,B,jack36@mail.com,9876543036,3,8,No
Kylie,I,CSE,A,kylie37@mail.com,9876543037,4,7,Yes
Leo,II,IT,B,leo38@mail.com,9876543038,5,9,No
Mia,III,ECE,A,mia39@mail.com,9876543039,4,6,Yes
Noah,IV,EEE,B,noah40@mail.com,9876543040,5,10,Yes
Olivia,I,MECH,A,olivia41@mail.com,9876543041,3,7,No
Peter,II,CIVIL,B,peter42@mail.com,9876543042,4,8,Yes
Queen,III,CSE,A,queen43@mail.com,9876543043,5,9,No
Ryan,IV,IT,B,ryan44@mail.com,9876543044,4,6,Yes
Sophia,I,ECE,A,sophia45@mail.com,9876543045,5,10,Yes
Tom,II,EEE,B,tom46@mail.com,9876543046,3,8,No
Una,III,MECH,A,una47@mail.com,9876543047,4,7,Yes
Violet,IV,CIVIL,B,violet48@mail.com,9876543048,5,9,No
Will,I,CSE,A,will49@mail.com,9876543049,4,8,Yes
Xena,II,IT,B,xena50@mail.com,9876543050,5,10,Yes
